"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"237","349","107","Munda","MUN","87/2-1-1","-8:3","5","Pikunda-Munda","","x","vessel-part","","1","","","","Likwala-aux-Herbes","",""
"117","329","108","Munda","MUN","87/1-0-2","-6:2","2","Ebambe","","x","vessel","","1","","","","Likwala-aux-Herbes","",""
"241","1873","109","Munda","MUN","87/1-0-2","-1:1","3","Ebambe","","x","vessel","","1","","","","Likwala-aux-Herbes","",""
"247","1443","110","Munda","MUN","87/1-0-2","-4:2","19","Ebambe","","","vessel-part","","1","","","","Likwala-aux-Herbes","",""
"110","458","111","Ngombe","NGO","87/102","28-29","","Ngombe","","","","","","","x","","Sangha","",""
"249","","112","Ngombe","NGO","87/102","31","","Ngombe","","","","","","","","","Sangha","",""
"250","","113","Likwala-Esobe km 186","LKW","87/186","1","","","","","","","","","","","Likwala-aux-Herbes","",""
"252","","114","Likwala-Esobe km 186","LKW","87/186","-1:5","","","","","","","","","","","Likwala-aux-Herbes","",""
"156","","115","Boleko","BLK","87/501","1","","Ebambe","x","","bottle","34","","","","potter documented","Likwala-aux-Herbes","",""
"255","","116","Iyonda","IYO","81/1","-2/I:5","","Imbonga","","","","","","","","","Congo","",""
